path|git_timestamp|file_size|first_heading
./ACTUAL_LOG_SEQUENCE.md|1770444091|8389|Actual Log Sequence - What's Currently Running
./MCP_EXECUTION_IMPLEMENTATION_SUMMARY.md|1770444086|7293|MCP Activity Execution Implementation Summary
./SESSION_MEMORY_FINAL.md|1770442434|8934|Session Memory Agent - Complete Implementation Summary
./COMPLETE_MEMORY_AGENT_IMPLEMENTATION.md|1770442388|17289|Complete Memory Agent Implementation - Final Summary
./repos/metabob-opencode/packages/opencode/MEMORY_AGENT_IN_ACTIVITIES.md|1770442308|10698|Memory Agent in Activities - Design Spec
./REFACTORING_COMPLETE.md|1770442095|12866|Memory Agent Refactoring - Complete
./ACTIVITY_EXECUTION_FINDINGS.md|1770441861|10838|Activity Execution Flow: Key Findings
./PROPER_MEMORY_AGENT_DESIGN.md|1770441773|10835|Proper Memory Agent Design - Tool-Based Subagent
./MEMORY_AGENT_ARCHITECTURE_MISMATCH.md|1770441730|17189|Memory Agent Architecture - The Proper Design
./ACTIVITY_EXECUTION_FLOW_COMPARISON.md|1770441669|11888|Activity Execution Flow: Proper Workflow vs OpenCode Implementation
./PROMPT_NOT_LARGE.md|1770441615|7073|The Prompt Is NOT Large - The Timeout Is Just Too Aggressive
./PROMPT_SIZE_ANALYSIS.md|1770441579|9096|Session Memory Agent Prompt Size Analysis
./FINAL_SUMMARY_SESSION_MEMORY.md|1770441503|9864|Session Memory Agent - Final Summary
./TIMEOUT_FIX_APPLIED.md|1770441463|5529|Timeout Fix Applied - Session Memory Agent Now Working
./REAL_ISSUE_FOUND.md|1770441420|8572|Session Memory Agent - REAL ISSUE FOUND
./SESSION_MEMORY_DIAGNOSTIC.md|1770441354|11263|Session Memory Agent - Diagnostic Report
./DIAGNOSTIC_NO_LOGS.md|1770441284|10434|Diagnostic: Why No Session Memory Agent Logs?
./STORAGE_CACHE_EXPLANATION.md|1770441108|15646|Storage Cache - Why "storage cache hit" Appears for Session Memory
./QUICK_VERIFICATION.md|1770440819|8952|Quick Verification - Is Session Memory Agent Working?
./SESSION_MEMORY_VERIFICATION_GUIDE.md|1770440786|23646|Session Memory Agent - Verification & Monitoring Guide
./ACTIVITY_SYSTEM_FINAL_STATUS.md|1770439899|9032|Activity System - Final Status Report
./SESSION_MEMORY_AGENT_RESPONSIBILITIES.md|1770439623|15119|Session Memory Agent - Complete Responsibilities
./VARIANT_RESOLUTION_FIX_REPORT.md|1770439591|7690|Activity Variant Resolution Fix - Status Report
./CONTEXT_OVERFLOW_PREVENTION_IMPL.md|1770439566|26700|Context Overflow Prevention - Implementation Guide
./SESSION_MEMORY_CONTEXT_MANAGEMENT_DESIGN.md|1770439490|28807|Session Memory Agent: Context Window Management & Learning
./doc-jiggle-analysis-dated.md|1770436075|26133|Documentation Inventory Analysis
./SYMBOL_TRANSITION_MAP.md|1770435975|20323|Session Memory Agent - Exact Symbol Transition Map
./SESSION_MEMORY_FIX_SUMMARY.md|1770435910|21407|Session Memory Agent Fix - Complete Summary
./COMPLETE_FLOW_MAP.md|1770435843|23775|Complete Session Memory Agent Flow Map
./doc-percolation-plan.md|1770435690|11794|Documentation Percolation Plan
./FLOW_COMPARISON.md|1770435670|10967|Session Memory Flow - ACTUAL vs EXPECTED
./SESSION_MEMORY_FLOW_TRACE.md|1770435502|17332|Session Memory Agent Flow - Symbol Trace
./doc-jiggle-analysis.md|1770435441|34708|Documentation Inventory Analysis
./SESSION_COMPLETE_VARIANT_RESOLUTION.md|1770433061|9334|Session Complete: Activity Variant Resolution Fix
./ACTIVITY_EXECUTION_BUG_REPORT.md|1770432299|8123|Activity Execution Bug Report - FINAL
./test-activity-via-agent.md|1770431622|4133|Activity Execution via Agent - Test Plan
./ACTIVITY_EXECUTION_VERIFICATION.md|1770430428|10719|Activity Execution Verification
./.activity-test/README.md|1770430287|246|Activity Test Directory
./ACTIVITY_TEMPLATE_REGISTRATION_SUCCESS.md|1770430022|5173|Activity Template Registration Success
./RESUME_HERE.md|1770429505|7756|🚀 START HERE - Next Session Guide
./VERIFICATION_COMPLETE.md|1770429451|5983|✅ Shared Backend Configuration - Verification Complete
./UNIFIED_TRAILBLAZING_VISUAL.md|1770429451|16353|Unified Trailblazing System - Visual Reference
./UNIFIED_TRAILBLAZING_SYSTEM.md|1770429451|7414|Unified Trailblazing Recovery System
./UNIFIED_PROTO_ARCHITECTURE_VISUAL.md|1770429451|16055|Unified Proto Architecture - Visual Summary
./UNIFIED_ACTIVITY_TEMPLATE_ARCHITECTURE.md|1770429451|29805|Unified Activity Template Architecture - Proto-First Design
./test-activity-jiggle.md|1770429451|1939|Activity System Test: Jiggle Documentation
./TEST_ACTIVITY_EXECUTION.md|1770429451|4238|Test Activity Execution Through OpenCode
./TEST_ACTIVITY_EVOLUTION.md|1770429451|1227|Activity Evolution System - Test Plan
./TASK_9_TYPESCRIPT_ANALYSIS.md|1770429451|9341|Task 9: TypeScript Generation & OpenCode Migration - Analysis
./SYSTEM_INTEGRATION_COMPLETE.md|1770429451|34749|Metabob System Integration: Complete Picture
./SYSTEMATIC_RECORDING_IMPLEMENTATION.md|1770429451|39817|Systematic Recording Implementation Plan
./SURREALDB_AND_BROWSER_CHECK.md|1770429451|7017|SurrealDB and Browser Verification
./START_BACKEND.md|1770429451|1954|Starting the Metabob RPC API Backend Server
./SHARED_BACKEND_CONFIGURATION_COMPLETE.md|1770429451|9170|Shared Backend Configuration - Complete Setup
./SESSION_SUMMARY_FEB_6_EVENING.md|1770429451|10766|Session Summary: February 6, 2026 (Evening)
./SESSION_MEMORY_AGENT_EVOLUTION.md|1770429451|24261|Session Memory Agent Evolution: From Router to Intelligence Layer
./REGISTRATION_QUICK_REF.md|1770429451|13510|Activity Registration: Quick Reference
./REGISTRATION_FIX_SUMMARY.md|1770429451|13050|Activity Registration: What's Broken & How to Fix It
./RECENT_WORK_PATTERN_ANALYSIS.md|1770429451|14349|Recent Work Pattern Analysis
./READY_FOR_DEPLOYMENT.md|1770429451|5539|Activity System Improvements: Ready for Deployment
./README-JIGGLE-TEST.md|1770429451|11220|Jiggle Documentation Activity - Test Deliverables
./README-JIGGLE-ACTIVITY.md|1770429451|8609|Jiggle Documentation Activity - Complete Package
./README_IMPLEMENTATION_COMPLETE.md|1770429451|4114|Activity System Improvements - Implementation Complete ✅
./README_ARCHITECTURE_DOCS.md|1770429451|9139|Metabob Architecture Documentation
./QUICK_ARCHITECTURE_REFERENCE.md|1770429451|23429|Quick Architecture Reference
./PROTOCOL_DERIVED_ACTIVITY_TEMPLATE.md|1770429451|15319|Protocol-Derived Activity Template - Design & Intent
./PROJECT_SETUP_COMPLETE.md|1770429451|6726|Project Setup Complete - Shared Backend Configuration
./PROJECT_ID_FIX_COMPLETE.md|1770429451|5093|Project ID Fix - Complete
./METABOB_PROTO_COMPLIANCE_CHECK.md|1770429451|9835|metabob-proto Compliance Check
./METABOB_DATAFLOW_ARCHITECTURE.md|1770429451|49571|Metabob Data Flow Architecture
./METABOB_CONFIG_SIMPLIFICATION.md|1770429451|4678|Metabob Configuration Simplification
./MCP_CONNECTIVITY_RESOLUTION.md|1770429451|5318|MCP Connectivity Resolution
./jiggle-documentation-visual.md|1770429451|20652|Jiggle Documentation Activity - Visual Guide
./JIGGLE_DOCUMENTATION_ACTIVITY.md|1770429451|7095|Jiggle Documentation Activity
./jiggle-activity-visual-summary.md|1770429451|14617|Jiggle Documentation Activity - Visual Summary
./JIGGLE_ACTIVITY_VISUAL.md|1770429451|18253|Documentation Jiggle Activity - Visual Guide
./JIGGLE_ACTIVITY_TEST_RESULTS.md|1770429451|9318|Jiggle Documentation Activity - Test Results
./IMPLEMENTATION_VISUAL_OVERVIEW.md|1770429451|21023|Implementation Complete: Visual Overview
./IMPLEMENTATION_TRACKING_CHECKLIST.md|1770429451|17755|Activity System Implementation: Tracking Checklist
./IMPLEMENTATION_QUICK_START.md|1770429451|9657|Activity System Implementation: Quick Start Guide
./IMPLEMENTATION_COMPLETE_SUMMARY.md|1770429451|16642|Activity System Improvements: Implementation Complete
./GIT_HISTORY_DESIGN_ALIGNMENT.md|1770429451|2691|Using Git History to Align with Design Intent
./FORMAT_FRAGMENTATION_SUMMARY.md|1770429451|5667|Why Different Activity Template Formats? Root Cause
./FIXES_APPLIED.md|1770429451|5214|Fixes Applied: SearchActivitiesTool Import Error
./FINAL_SUMMARY_V2.md|1770429451|8210|Final Summary - Shared Backend & Project ID Configuration
./FINAL_SESSION_SUMMARY.md|1770429451|9058|Final Session Summary - Activity System Analysis Complete
./FINAL_IMPLEMENTATION_SUMMARY.md|1770429451|12135|Activity System Improvements: Final Summary
./EXECUTIVE_SUMMARY.md|1770429451|4225|Executive Summary - System Verification Complete
./EXECUTION_ENVIRONMENT_ARCHITECTURE.md|1770429451|64905|Execution Environment Architecture: Algorithmic Recording & Validation
./DOCUMENTATION_INDEX.md|1770429451|2293|Metabob System Documentation Index
./docs-ACTIVITY_EXECUTION_GUIDE.md|1770429451|7098|Activity Execution Guide
./DOCKER_CONFIG_RESOLUTION.md|1770429451|7607|Docker Config Environment Variable Resolution
./DEVBOB_SCRIPT_INSPECTION.md|1770429451|8971|DevBob Script Inspection Report
./DELIVERY_SUMMARY.md|1770429451|9167|Activity System Improvements: Delivery Summary
./CREATE_ACTIVITY_TEMPLATE_IMPROVEMENTS.md|1770429451|19423|create-activity-template Improvements: Implementation Checklist
./CONFIG_VALIDATION_FIXES.md|1770429451|7454|Config Validation Fixes
./CONFIG_SIMPLIFICATION_COMPLETE.md|1770429451|9037|Configuration Simplification - Complete Implementation
./COMPLETE_SYSTEM_VERIFICATION.md|1770429451|10658|Complete System Verification - All Components Working
./COMPLETE_SUMMARY.md|1770429451|10998|Complete Summary: MCP Architecture Cleanup & DevBob Fixes
./COMPLETE_REFACTORING_SUMMARY.md|1770429451|14546|Complete Metabob Configuration Refactoring
./COMPLETE_FINDINGS_SUMMARY.md|1770429451|8330|Complete Findings Summary - Activity System Deep Dive
./BACKEND_VERSION_MANAGEMENT.md|1770429451|6296|Backend Version Management
./ARCHITECTURE_TRANSFORMATION_SUMMARY.md|1770429451|28583|Architecture Transformation: From Agent-Driven to System-Driven
./ARCHITECTURE_SEPARATION_OF_CONCERNS.md|1770429451|16901|Architecture & Separation of Concerns
./ARCHITECTURE_EVOLUTION_SUMMARY.md|1770429451|11905|Architecture Evolution Summary
./ALL_COMPLETE.md|1770429451|7405|Activity System Improvements: All Complete ✅
./AGENT_BEHAVIOR_RECORDING.md|1770429451|30799|Agent Behavior Recording: Complete System Design
./ACTIVITY_WORKFLOW_QUICK_REFERENCE.md|1770429451|10588|Activity System: Quick Reference
./ACTIVITY_VARIANT_ARCHITECTURE_VIOLATION.md|1770429451|10697|Activity Variant Architecture Violation
./ACTIVITY_TOOL_SIMPLIFICATION_SUMMARY.md|1770429451|6785|Activity Tool Simplification: Quick Reference
./ACTIVITY_TOOL_SIMPLIFICATION_IMPLEMENTATION.md|1770429451|19749|Activity Tool Simplification: Implementation Guide
./ACTIVITY_TOOL_ALIGNMENT_ANALYSIS_OLD.md|1770429451|15902|Activity Tool Alignment Analysis
./ACTIVITY_TEST_SUMMARY.md|1770429451|8440|Activity System Test Summary
./ACTIVITY_TEMPLATE_FORMAT_ANALYSIS.md|1770429451|13017|Activity Template Format Analysis
./ACTIVITY_SYSTEM_WORKFLOW_ANALYSIS.md|1770429451|29643|Activity System Workflow Analysis: Jiggle Documentation Session
./ACTIVITY_SYSTEM_VERIFICATION_SUMMARY.md|1770429451|8907|Activity System Verification Summary
./ACTIVITY_SYSTEM_TEST_SUMMARY.md|1770429451|5876|Activity System Test - Summary
./ACTIVITY_SYSTEM_TEST_REPORT.md|1770429451|8179|Activity System Test Report
./ACTIVITY_SYSTEM_TEST_FAILURE.md|1770429451|5095|Activity System Test Failure Report
./ACTIVITY_SYSTEM_IMPLEMENTATION_PLAN.md|1770429451|39580|Activity System Implementation Plan
./ACTIVITY_SYSTEM_FAILURE_ANALYSIS_CORRECTED.md|1770429451|21146|Activity System Failure Analysis: Jiggle Documentation Session (Corrected)
./ACTIVITY_SYSTEM_EXECUTIVE_SUMMARY.md|1770429451|10964|Activity System Implementation: Executive Summary
./ACTIVITY_SYSTEM_COMPLETE_ARCHITECTURE.md|1770429451|35088|Activity System: Complete Architecture and Data Flow
./ACTIVITY_SYSTEM_ALIGNMENT_SUMMARY.md|1770429451|13396|Activity System Alignment Summary
./ACTIVITY_SUCCESS_OPTIMIZATION_PLAN.md|1770429451|24925|Activity Template Success Optimization Plan
./ACTIVITY_REGISTRATION_SYSTEM_ANALYSIS.md|1770429451|28954|Activity Registration System: Current State & Required Fixes
./ACTIVITY_REGISTRATION_PROPER_APPROACH.md|1770429451|4127|Activity Registration - Proper Approach
./ACTIVITY_REGISTRATION_BUG_REPORT.md|1770429451|6810|Activity Registration System - Critical Bug Report
./ACTIVITY_REGISTRATION_AND_LEARNING.md|1770429451|20740|Activity Template Registration and Learning System
./activity-jiggle-test-report.md|1770429451|10648|Jiggle Documentation Activity - Test Report
./ACTIVITY_IMPROVEMENTS_VISUAL_SUMMARY.md|1770429451|34186|Activity System Improvements: Visual Summary
./ACTIVITY_EVOLUTION_TEST_PLAN.md|1770429451|11627|Activity Evolution & Mutation - Complete Test Plan
./activity-creation-summary.md|1770429451|4741|Documentation Jiggling Activity - Creation Summary
./ACTION_PLAN_NEXT_SESSION.md|1770429451|13527|Action Plan: Next Session
./TASK_9_COMPLETE_SUMMARY.md|1770424419|9224|Task 9: OpenCode Proto Integration - COMPLETE ✅
./TASK_9_OPENCODE_PROTO_INTEGRATION.md|1770424362|9769|Task 9: OpenCode Proto Integration - Complete
./TASK_8_CLI_MIGRATION_SUMMARY.md|1770421512|7863|Task 8: Migrate metabob-cli - COMPLETE ✅
./TASK_7_RPC_API_MIGRATION_PLAN.md|1770421512|4153|Task 7: Migrate metabob-rpc-api to Proto Types
./TASK_7_COMPLETION_SUMMARY.md|1770421512|7191|Task 7: RPC API Migration - Summary
./TASK_6_CODEGEN_COMPLETE.md|1770421512|6197|Task 6: Code Generation Setup - COMPLETE ✅
./TASK_6_7_PROGRESS_SUMMARY.md|1770421512|6177|Tasks 6-7: Code Generation & RPC Migration - IN PROGRESS
./SESSION_SUMMARY_TASKS_6_7.md|1770421512|7054|Session Summary: Activity System Unification - Tasks 6 & 7
./repos/metabob-proto/OPENCODE_FIELD_AUDIT.md|1770421512|30196|OpenCode Field Audit for Proto Extensions
./PROGRESS_VISUAL_SUMMARY.md|1770421512|10027|Activity System Unification - Visual Progress
./PROGRESS_UPDATE_TASK_8.md|1770421512|5289|Progress Update: Task 8 Complete! 🎉
./IMPLEMENTATION_COMPLETE.md|1770405948|14251|Session Memory Agent Implementation - COMPLETE
./FINAL_STATUS.md|1770405537|6938|Activity Registration System: Final Status
./TRAILBLAZING_DUPLICATION_ISSUE.md|1770405492|3538|Trailblazing Duplication Issue
./ARCHITECTURE_UNDERSTANDING.md|1770404778|13394|Activity Registration Architecture: Complete Understanding
./CURRENT_STATE_ASSESSMENT.md|1770404674|10700|Current State Assessment: Activity Registration System
./IMPLEMENTATION_PROGRESS.md|1770404274|10160|Activity Registration Implementation Progress
./repos/metabob-cli/FILEWATCHER_IMPROVEMENTS.md|1770402830|7160|File Watcher Improvements for Large Projects
./repos/metabob-opencode/packages/opencode/AGENTS_ACTIVITY_SECTION.md|1770389747|1770|Discovery
./repos/metabob-opencode/packages/opencode/ACTIVITY_DEBUG_MODE.md|1770389747|7192|Activity Debug Mode
./repos/metabob-opencode/ACTIVITY_SYSTEM_CHECKLIST.md|1770389747|8435|Activity System: Agent Checklist
./repos/metabob-opencode/CONFIG_ERROR_FIX.md|1770361604|8841|Config Error Display Fix
./repos/metabob-opencode/ACTIVITY_USAGE.md|1770346601|3330|Activity Usage Guide
./repos/metabob-opencode/packages/opencode/AGENTS.md|1770346567|42902|opencode agent guidelines
./ANALYZE_CONVERSATION_PATTERNS_TASK_BREAKDOWN.md|1770339572|32432|Task Breakdown: Analyze Conversation Patterns
./ANALYZE_CONVERSATION_PATTERNS_QUICK_REF.md|1770339572|3366|Quick Reference: Analyze Conversation Patterns Scope
./repos/metabob-proto/README.md|1770338566|7517|metabob-proto
./repos/cpg-inference/README.md|1770338566|10374|CPG Inference
./repos/cpg-inference/PACKAGE_README.md|1770338566|6579|CPG Inference Package - Build and Distribution Guide
./repos/cpg-inference/cpg_inference/README.md|1770338566|44346|CPG Inference Library
./repos/cpg-inference/cpg-inference/README.md|1770338566|10374|CPG Inference
./repos/cpg-inference/cpg-inference/PACKAGE_README.md|1770338566|6579|CPG Inference Package - Build and Distribution Guide
./repos/cpg-inference/cpg-inference/cpg_inference/README.md|1770338566|44346|CPG Inference Library
./repos/cpg-inference/cpg-inference/CHANGELOG.md|1770338566|1891|Changelog
./repos/cpg-inference/cpg-inference/API_DOCS_UPDATE.md|1770338566|5759|cpg-inference API Documentation Update
./repos/cpg-inference/CHANGELOG.md|1770338566|1891|Changelog
./.opencode/README.md|1770338566|7194|Multi-Repository Workspace Configuration
./.opencode/QUICK_CONFIG_REFERENCE.md|1770338566|3095|OpenCode Configuration Quick Reference
./.opencode/CONFIG_REFERENCE.md|1770338566|13312|OpenCode Configuration Reference
./.opencode/ACP_CONFIGURATION_GUIDE.md|1770338566|7195|ACP Server Configuration for exp-repo
./ANALYZE_CONVERSATION_PATTERNS_SCOPE_VISUAL.md|1770338566|21902|Activity Scope: Analyze Conversation Patterns (Visual Guide)
./ANALYZE_CONVERSATION_PATTERNS_SCOPE.md|1770338566|18890|Activity Scope Boundaries: Analyze Conversation Patterns
./repos/metabob-rpc-api/.venv/lib/python3.13/site-packages/cpg_inference/README.md|1770108435|44346|CPG Inference Library
./repos/metabob-opencode/packages/console/app/README.md|1770044469|2314|OpenCode Console App
./repos/metabob-cli/.pytest_cache/README.md|1769825902|302|pytest cache directory #
./repos/metabob-opencode/packages/opencode/.memory-profiles/FIX_IMPLEMENTATION_GUIDE.md|1769776869|19581|Memory Leak Fix Implementation Guide
./repos/metabob-opencode/packages/opencode/.memory-profiles/UNDO_REDO_ANALYSIS.md|1769776641|8288|Undo/Redo Memory Analysis
./repos/metabob-opencode/packages/opencode/.memory-profiles/IMPULSE_ANALYSIS.md|1769776512|14148|Impulse Loading and Caching Analysis
./repos/metabob-opencode/packages/opencode/.memory-profiles/README.md|1769776321|6485|OpenCode Memory Profiling
./repos/metabob-opencode/packages/opencode/.memory-profiles/CODE_ANALYSIS.md|1769776268|11702|Memory Leak Source Code Analysis
./repos/metabob-opencode/packages/opencode/.memory-profiles/LEAK_OPERATION_TESTING.md|1769776022|14143|Metabob Memory Leak - Operation Testing Guide
./repos/metabob-opencode/packages/opencode/.memory-profiles/NEXT_STEPS.md|1769775807|9205|Memory Leak Investigation - Next Steps
./repos/metabob-opencode/packages/opencode/.memory-profiles/BASELINE_SUMMARY.md|1769775759|10078|OpenCode Baseline Memory Profile - Summary
./repos/metabob-opencode/packages/opencode/.memory-profiles/baseline_manual_20260130.md|1769775691|5631|OpenCode Baseline Memory Profile - Manual
./repos/metabob-opencode/packages/opencode/.memory-profiles/baseline_simple_20260130_042029.md|1769775629|796|OpenCode Baseline Memory Profile
./repos/metabob-opencode/packages/opencode/test/plugin/README.md|1769774687|11085|Plugin Testing Infrastructure
./repos/metabob-cli/.venv/lib/python3.13/site-packages/cpg_inference/README.md|1769772965|44346|CPG Inference Library
./repos/cpg-inference/cpg-inference/.venv/lib/python3.12/site-packages/onnxruntime/tools/mobile_helpers/nnapi_supported_ops.md|1769768123|2327|nnapi_supported_ops
./repos/cpg-inference/cpg-inference/.venv/lib/python3.12/site-packages/onnxruntime/tools/mobile_helpers/coreml_supported_neuralnetwork_ops.md|1769768123|1915|coreml_supported_neuralnetwork_ops
./repos/cpg-inference/cpg-inference/.venv/lib/python3.12/site-packages/onnxruntime/tools/mobile_helpers/coreml_supported_mlprogram_ops.md|1769768123|2353|coreml_supported_mlprogram_ops
./repos/cpg-inference/cpg-inference/.venv/lib/python3.12/site-packages/onnxruntime/Privacy.md|1769768123|2469|Privacy
./repos/cpg-inference/cpg-inference/.venv/lib/python3.12/site-packages/numpy/random/LICENSE.md|1769768123|3511|NCSA Open Source License
./repos/cpg-inference/cpg-inference/.pytest_cache/README.md|1769768123|302|pytest cache directory #
./repos/metabob-rpc-api/server/actions/AUTH_SCHEMA_README.md|1769687062|13251|Authentication System Schema - Implementation Summary
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/USER_MANAGEMENT_FLOW.md|1769687062|13105|User Management Flow Comparison
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/USER_MANAGEMENT_ENHANCEMENTS.md|1769687062|11554|User Management Enhancement Plan
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/TESTING_RESULTS_AND_BUGS.md|1769687062|8124|Cloud Mode Testing Results & Known Bugs
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/STATISTICS_DASHBOARD_PROGRESS.md|1769687062|7492|Multi-Level Statistics Dashboard Implementation Progress
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/SESSION_SUMMARY.md|1769687062|9699|Cloud Mode Implementation - Session Summary
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/SEAT_MANAGEMENT_FIX.md|1769687062|6820|Seat Management and Authentication Bug Fixes
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/ROUNDTRIP_DEMONSTRATION.md|1769687062|12519|Complete Round-Trip Connectivity Demonstration
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/README.md|1769687062|2912|Cloud Mode Development Archive - January 2025
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/PERSISTENCE_INVESTIGATION_COMPLETE.md|1769687062|7516|SurrealDB Persistence Investigation - RESOLVED
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/IMPLEMENTATION_PROGRESS.md|1769687062|5901|Cloud Mode Implementation Progress
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/IMPLEMENTATION_COMPLETE_SUMMARY.md|1769687062|11187|Multi-Level Statistics Dashboard - Implementation Summary
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/FINAL_TESTING_REPORT.md|1769687062|7444|Cloud Mode - Final Testing Report
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/DOCKER_SETUP_SUMMARY.md|1769687062|8096|Docker Dashboard Development Setup - Complete Summary
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/DOCKER_SETUP_COMPLETE_WITH_KNOWN_ISSUE.md|1769687062|8451|Docker Setup Complete - Working Build System with One Critical Bug
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/DOCKER_BUILD_FIX.md|1769687062|4251|Docker Build Issue - Root Cause & Solution
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/CURRENT_USER_FLOWS.md|1769687062|12264|Current Dashboard User Flows (Local Mode)
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/CRITICAL_BUG_REGISTRATION_NOT_PERSISTING.md|1769687062|5450|CRITICAL BUG: Registration Success But Data Not Persisting
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/CONNECTIVITY_DEMONSTRATION.md|1769687062|10426|Full Stack Connectivity Demonstration
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/COMPLETE_ROUNDTRIP_PROOF.md|1769687062|6500|Complete Round-Trip Connectivity Proof
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/CLOUD_MODE_TESTING_FINDINGS.md|1769687062|8304|Cloud Mode Testing Findings - Browser Interaction Testing
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/CLOUD_MODE_REMAINING_ISSUES.md|1769687062|8399|Cloud Mode - Remaining Issues & Missing Functionality
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/CLOUD_MODE_IMPLEMENTATION_COMPLETE.md|1769687062|11435|Cloud Mode Implementation - Complete
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/BUILD_CACHE_SOLUTION.md|1769687062|4410|Build Cache Issue - Final Analysis & Solution
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/BUG_FIX_SUMMARY.md|1769687062|4767|Bug Fix Implementation Summary
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/BUG_FIX_PROGRESS.md|1769687062|3945|Critical Bug Fixes - Progress Report
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/BROWSER_TESTING_GUIDE.md|1769687062|16768|Browser Testing & Debugging Guide
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/AUTH_FIX_SUMMARY.md|1769687062|4079|Authentication Fix Summary
./repos/metabob-rpc-api/docs/archive/cloud-mode-development-2025-01/AUTH_FIX_COMPLETE.md|1769687062|5795|Authentication Fix Complete
./repos/metabob-rpc-api/DOCKER_BUILD.md|1769687062|2586|Docker Build and Push Guide
./repos/metabob-rpc-api/tests/TEST_PATTERNS.md|1769687061|29761|Test Patterns Guide
